کشتی,سرگشته 0.5
و,جان 0.007194244604316547
خونم,و 1.0
صورتم,خاکیستم 1.0
ترسم,از 0.5
گل,چرا 0.1
حافظ,ناشنیده 0.058823529411764705
خاکی,زند 1.0
امروز,هر 0.1111111111111111
برشکافم,ز 1.0
هست,بی‏حزمی 0.125
سفر,به 1.0
که,سوزش 0.007142857142857143
دی,شیخ 0.5
گمان,می 0.5
عاشقان,خنبک 0.5
می,دانیش 0.019230769230769232
بیایید,رفتی 1.0
کسی,که 0.4
هنر,خندیدن 1.0
چه,شد 0.061224489795918366
ز,عشق 0.017543859649122806
سر,توان 0.047619047619047616
گاه,و 0.3333333333333333
ز,خون 0.017543859649122806
کام,کن 0.3333333333333333
گیر,و 0.5
چه,شود 0.08163265306122448
شیوه,های 1.0
اندیشه,که 0.2
من,و 0.03125
کو,زند 0.1111111111111111
زد,</s> 0.3333333333333333
رسیدیم,بسی 1.0
خاک,خاک 0.2
بر,جان 0.020833333333333332
گوش,به 0.5
بینا,</s> 1.0
کرد,به 0.09090909090909091
کز,نسیمش 0.125
این,یقین 0.027777777777777776
از,عشق 0.021505376344086023
گیرند,</s> 1.0
هاتان,نگون 1.0
زمین,یک 0.2
میفکن,فراق 1.0
تواضع,شبکی 1.0
نقش,غم 0.25
دار,و 1.0
تو,تو 0.01098901098901099
و,درد 0.007194244604316547
<s>,مبارکست 0.003436426116838488
جان,کاش 0.03333333333333333
دارد,اثر 0.0625
از,حیات 0.010752688172043012
گاه,</s> 0.3333333333333333
آذر,گیرند 1.0
یابد,شهی 0.5
بن,چاه 1.0
است,تبریز 0.045454545454545456
برون,جستم 0.25
درخشاند,پس 1.0
کان,علمها 0.1
کاره,صلا 0.5
دیار,آمد 1.0
کن,به 0.09090909090909091
کسی,کش 0.2
دم‏به‏دم,در 1.0
شکست,و 0.5
را,خرپشته 0.012345679012345678
قدیمست,و 1.0
دانی,چون 0.2
هم,نشود 0.125
صلح‏شان,و 1.0
من,ایشان 0.015625
حافظ,را 0.058823529411764705
خواجه,تاشم 0.125
ای,ده 0.023809523809523808
مشوی,ای 1.0
بر,او 0.020833333333333332
<s>,می 0.006872852233676976
را,درد 0.012345679012345678
را,درج 0.012345679012345678
خون,نخواهد 0.09090909090909091
زاید,او 1.0
ام,که 0.375
با,وی 0.058823529411764705
رو,حلالستت 0.14285714285714285
خود,غلط 0.0625
میسر,نیست 1.0
هاست,پنهانی 0.5
می,جویی 0.019230769230769232
گران,</s> 1.0
پند,تیغ 0.5
کوبیم,چون 1.0
بر,بندگان 0.020833333333333332
زنجیرش,چه 1.0
تو,ای 0.01098901098901099
کف,نبرد 0.16666666666666666
من,مخمورم 0.015625
تیره,پریشان 0.3333333333333333
درشتی,در 1.0
دیده,نثار 0.1111111111111111
پای,او 0.3333333333333333
دولت,عشق 0.5
بیمارش,کند 1.0
چه,این 0.02040816326530612
ما,</s> 0.034482758620689655
<s>,برو 0.003436426116838488
اندیشه,کان 0.2
هست,استسقا 0.125
تو,گویم 0.01098901098901099
<s>,خیال 0.003436426116838488
غمش,عجب 1.0
اگر,سجده 0.07692307692307693
شکر,لقب 0.16666666666666666
این,عشق 0.05555555555555555
ز,یاران 0.017543859649122806
فال,دوامی 1.0
یار,اندر 0.16666666666666666
ذقن,چو 1.0
چو,دم 0.03333333333333333
فرشته,را 1.0
خامش,و 0.5
ای,بلبل 0.023809523809523808
رنگ,اندیشه 0.2
را,ز 0.07407407407407407
رمیده,آهوروشی 1.0
نه,جنون 0.07142857142857142
را,هزاران 0.012345679012345678
و,پلیدیم 0.007194244604316547
به,موهبت 0.011904761904761904
ای,منعم 0.023809523809523808
نپاید,</s> 1.0
گفت,ببخشند 0.16666666666666666
بود,دلی 0.03225806451612903
تا,دانی 0.05
آن,ترک 0.015151515151515152
او,از 0.02857142857142857
و,تاجری 0.007194244604316547
<s>,من 0.01718213058419244
جوش,آب 0.3333333333333333
ساقی,آمد 0.14285714285714285
ذره,آفتاب 0.3333333333333333
من,سلیم 0.015625
دعاگو,را 1.0
ببینی,دم 1.0
دانم,نبخشد 1.0
شدی,بر 0.5
در,مقام 0.014705882352941176
نگران,من 1.0
را,نمی 0.012345679012345678
و,بگویم 0.007194244604316547
پیر,شدی 0.3333333333333333
سوی,من 0.2222222222222222
ده,دست 0.3333333333333333
کردم,سرزنش 0.5
بداند,مهر 1.0
معشوق,او 1.0
ابرم,ز 1.0
<s>,ز 0.010309278350515464
<s>,جمع 0.003436426116838488
کشم,فال 0.5
بر,عاشقان 0.020833333333333332
روان,در 0.2
بنده,صاحب 0.3333333333333333
می,کنم 0.019230769230769232
تو,گویی 0.01098901098901099
خدا,که 0.25
آتشی,گر 1.0
دلت,را 1.0
جمله,مخموران 0.2
این,</s> 0.027777777777777776
ز,خورشید 0.017543859649122806
و,سرمست 0.007194244604316547
لب,چه 0.5
هر,درخت 0.03225806451612903
درافتی,در 0.5
کف,گیرد 0.16666666666666666
می,کند 0.019230769230769232
درشان,</s> 1.0
حجاب,دل 1.0
فرومانی,</s> 1.0
بایدت,خورد 1.0
به,غایت 0.011904761904761904
که,دروغش 0.007142857142857143
غالب,کند 1.0
بی,حیا 0.045454545454545456
عشق,را 0.05
<s>,ما 0.020618556701030927
دل,و 0.10344827586206896
تاشم,عاقبت 1.0
رسن,تو 0.5
این,کشتی 0.027777777777777776
مدزد,خویش 1.0
خون,خلق 0.09090909090909091
اگر,بینم 0.07692307692307693
حیله,برانگیخت 0.5
شکر,و 0.16666666666666666
جامی,می 1.0
او,نتیجه 0.02857142857142857
گرفتم,گوش 1.0
چون,از 0.043478260869565216
ای,بس 0.023809523809523808
عزیزم,رفت 1.0
نیفزوید,</s> 1.0
مپرس,زهر 0.3333333333333333
ظاهر,و 0.3333333333333333
را,بستدیم 0.012345679012345678
امروز,و 0.1111111111111111
خوابست,آن 0.5
واقف,شود 0.5
خون,دل 0.09090909090909091
عشق,سر 0.05
آفتابی,ذره 1.0
زخمه,رحمانم 1.0
و,زنجیرش 0.007194244604316547
جز,ز 0.16666666666666666
سایه,دولت 0.5
به,بغداد 0.011904761904761904
و,صلات 0.007194244604316547
سلامی,نفرستاد 1.0
بس,کن 0.25
شرم,دارم 0.5
<s>,سر 0.006872852233676976
غنیمت,دان 1.0
از,نسرین 0.010752688172043012
باشیم,از 0.25
من,مغلطه 0.015625
جای,عقل 0.25
تایبم,در 1.0
عهد,شباب 0.5
سوی,بازار 0.1111111111111111
<s>,گمان 0.003436426116838488
بهار,حسن 0.3333333333333333
که,قرین 0.007142857142857143
نادر,افتد 1.0
بحر,قلزم 0.2
خنک,آن 1.0
طره,پرپیچ 0.3333333333333333
<s>,ملاحت 0.003436426116838488
و,باران 0.007194244604316547
نمی,کند 0.5
چو,نور 0.03333333333333333
ساقی,چه 0.14285714285714285
را,غلام 0.012345679012345678
وی,غایبم 0.2
سرنبشت,او 1.0
اگر,خشکست 0.07692307692307693
سحرگاه,و 1.0
دهم,هر 1.0
به,دوغ 0.011904761904761904
پر,تو 0.3333333333333333
دلا,زین 0.3333333333333333
و,جای 0.007194244604316547
که,آن 0.06428571428571428
خام,بود 1.0
هشیار,چرا 1.0
تو,روغنی 0.01098901098901099
همیان,او 1.0
سر,به 0.047619047619047616
و,استاد 0.007194244604316547
گر,روح 0.0625
مجید,</s> 1.0
داند,که 0.25
آی,رندی 1.0
روحانیان,گه 1.0
کنم,هر 0.25
گرد,شهر 0.5
نرگس,به 0.25
با,آن 0.058823529411764705
شد,وصل 0.045454545454545456
من,شاد 0.015625
به,قطره 0.011904761904761904
و,خون 0.007194244604316547
<s>,گلبن 0.003436426116838488
بود,جان 0.03225806451612903
به,احسانی 0.011904761904761904
دارد,در 0.0625
چو,باران 0.03333333333333333
به,تماشای 0.011904761904761904
حارس,تویی 1.0
وهم,بیمارش 1.0
چون,را 0.043478260869565216
صورت,ها 0.5
از,گوشه 0.010752688172043012
از,صنعت 0.010752688172043012
رقصیدن,سرو 1.0
ست,این 0.1111111111111111
برده,ام 0.5
ربابی,ست 1.0
مخدوم,شمس 1.0
مستی,از 1.0
چونی,بگو 1.0
خفتنم,هوس 1.0
یک,دانه 0.09090909090909091
نی,آرد 0.5
خداوندی,خود 1.0
بحر,در 0.2
آن,شراب 0.015151515151515152
کز,عشق 0.125
به,تو 0.011904761904761904
اسب,و 1.0
هر,ذره 0.03225806451612903
شاه,سواران 0.25
دگر,خود 0.5
کس,را 0.2
می,ننالم 0.019230769230769232
سحر,همچو 0.3333333333333333
من,ساکن 0.015625
آخر,جان 0.2
را,چو 0.012345679012345678
نانبا,</s> 1.0
در,مطبخ 0.014705882352941176
همچون,طورم 0.5
قارون,می 1.0
خبر,داری 0.3333333333333333
چون,روی 0.043478260869565216
هم,بغل 0.125
شاعران,وز 1.0
چون,آسیا 0.043478260869565216
که,پایندان 0.007142857142857143
و,خود 0.007194244604316547
در,دل 0.014705882352941176
در,دم 0.014705882352941176
درکشی,تو 1.0
مست,هست 0.25
کان,مروت 0.1
از,میکده 0.010752688172043012
گدایی,</s> 0.3333333333333333
سر,گیرند 0.047619047619047616
باقوام,بود 1.0
را,برو 0.012345679012345678
مغلطه,خواهم 1.0
او,غم 0.02857142857142857
آن,ها 0.015151515151515152
خزینه,بر 1.0
ام,من 0.125
علمها,لقمه‏ی 1.0
را,هوس 0.012345679012345678
در,هوای 0.014705882352941176
عشقی,کشیده 1.0
باران,را 0.5
را,بنگر 0.012345679012345678
<s>,ور 0.010309278350515464
که,برآید 0.007142857142857143
کوی,رندی 1.0
کنی,همه 0.14285714285714285
آبی,بر 0.5
فارغند,از 1.0
و,یعقوب 0.007194244604316547
از,رنگ 0.021505376344086023
نه,قلماشی 0.07142857142857142
چو,مستتر 0.03333333333333333
صوابی,یا 1.0
ره,میخانه 0.2
نفرستاد,</s> 1.0
ز,آفتابی 0.017543859649122806
حسنش,شاخ 1.0
پرنیرنگ,او 1.0
من,واقفم 0.03125
او,بازارها 0.02857142857142857
به,کف 0.023809523809523808
جمع,شد 0.14285714285714285
غازیان,بود 1.0
دیدم,و 1.0
را,هم 0.012345679012345678
به,که 0.011904761904761904
نگون,گردد 1.0
نرگس,که 0.25
به,غروب 0.011904761904761904
تماشای,تو 1.0
لقمه‏ی,نان 1.0
وداع,که 0.5
آبی,به 0.5
آن,چه 0.030303030303030304
من,امروز 0.078125
المنون,را 1.0
درد,رو 0.1111111111111111
رو,بالا 0.14285714285714285
از,مکان 0.010752688172043012
<s>,بپرسید 0.003436426116838488
خواجه,سرمستک 0.125
تو,چو 0.01098901098901099
رندی,راه 0.25
<s>,جام 0.003436426116838488
بنگر,که 0.5
<s>,جان 0.003436426116838488
که,حافظ 0.014285714285714285
سکندر,را 1.0
می,چو 0.019230769230769232
بی,خمار 0.045454545454545456
خندانم,که 0.5
و,هر 0.014388489208633094
گذشتی,ز 1.0
نرگس,همه 0.25
بخواند,آیت 1.0
هستی,خود 0.5
هر,شبی 0.03225806451612903
همه,جان 0.125
دیدی,رو 0.5
آخر,نیم 0.2
گیا,</s> 1.0
آن,کس 0.015151515151515152
آمدم,تا 1.0
جا,توانی 0.07142857142857142
طره,اش 0.3333333333333333
ببخشند,گنه 1.0
جهت,حدست 1.0
پیرهن,بردم 0.5
بترسد,گو 1.0
یافت,</s> 1.0
چرا,بربود 0.1111111111111111
<s>,ضمیر 0.003436426116838488
کفی,چو 0.3333333333333333
از,کرم 0.010752688172043012
امروز,در 0.1111111111111111
خون,روان 0.18181818181818182
هم,اعضای 0.125
جمله,صورت 0.2
برآمد,</s> 0.75
خود,شوید 0.0625
نبری,</s> 1.0
بود,آن 0.03225806451612903
زر,میسر 0.25
که,یار 0.007142857142857143
مصر,الصلا 0.5
تا,روز 0.1
سرد,کند 1.0
فضل,و 1.0
گذشت,ز 1.0
سست,بخندد 0.5
<s>,نه 0.003436426116838488
بنال,ای 1.0
<s>,گوییم 0.003436426116838488
مجمع,پریشانی 1.0
<s>,گفت 0.010309278350515464
مده,وان 1.0
عرضه,کنند 1.0
آن,بسیار 0.015151515151515152
را,مژده 0.012345679012345678
ای,عقل 0.023809523809523808
همچو,تنگ 0.25
سر,خود 0.047619047619047616
تا,چو 0.05
طره,شبرنگ 0.3333333333333333
گذران,</s> 1.0
امیدت,من 1.0
<s>,مژه 0.003436426116838488
که,یاری 0.007142857142857143
هر,ژاژخا 0.03225806451612903
رفتی,تو 1.0
در,جوش 0.014705882352941176
داری,جانب 0.25
آن,که 0.030303030303030304
دین,است 0.25
گل,باد 0.1
همه,تسلیم 0.125
تو,شد 0.01098901098901099
مانده,پیش 1.0
با,چنین 0.058823529411764705
کند,مغلوب 0.047619047619047616
<s>,شب 0.003436426116838488
النوی,بدنی 1.0
بهار,و 0.3333333333333333
<s>,آب 0.003436426116838488
بت,ما 0.5
دهان,مردم 0.25
وی,ز 0.2
جز,این 0.16666666666666666
لطف,دیگرست 0.5
گل,کان 0.1
اسقا,یوم 1.0
اسپر,گرفته 1.0
<s>,حکیمیم 0.003436426116838488
هر,بامداد 0.03225806451612903
تا,عبرت 0.05
در,عهد 0.014705882352941176
ها,که 0.25
نامه,فرستادم 1.0
ای,نفس 0.023809523809523808
جو,یا 0.5
گفتا,بسی 0.5
حافظ,سحرخیز 0.058823529411764705
افتاد,یاران 1.0
به,کجا 0.011904761904761904
من,کیستم 0.015625
که,شهر 0.007142857142857143
یارکان,صفا 1.0
نوش,باده 1.0
و,آن 0.02877697841726619
سینه,را 0.25
جزو,در 1.0
پوشاند,نگرداند 1.0
شدی,حافظ 0.5
مرا,به 0.0625
و,شریف 0.007194244604316547
به,اندیشه 0.011904761904761904
ماجرا,</s> 1.0
ولی,کجا 1.0
و,آز 0.007194244604316547
جا,سخن 0.07142857142857142
تو,بی 0.01098901098901099
شده,جور 0.3333333333333333
چشم,یعنی 0.16666666666666666
شبکی,جان 1.0
بی,نصیبان 0.045454545454545456
مزد,نخواهیم 1.0
من,نیز 0.015625
می,گزی 0.019230769230769232
شبرنگ,او 1.0
چون,گوهر 0.043478260869565216
یا,نمکدان 0.14285714285714285
شادی,گذشتست 0.3333333333333333
بت,من 0.5
همدمی,گشتی 1.0
<s>,ارواح 0.003436426116838488
تو,بداند 0.01098901098901099
هزار,خوش 0.16666666666666666
خویشی,بیالایم 1.0
اندیشه,ز 0.2
<s>,آن 0.020618556701030927
خشکست,لبم 0.5
بر,همه 0.020833333333333332
تو,خشکست 0.01098901098901099
فارغ,ز 1.0
پریشان,تن 0.3333333333333333
پیغام,وی 1.0
پرسد,که 1.0
دغل,را 1.0
نیز,دل 0.25
رساند,</s> 1.0
وز,خیالی 0.125
دلدار,است 1.0
ست,شیر 0.1111111111111111
بیهده,بر 1.0
گر,نامده 0.0625
تو,مرا 0.02197802197802198
او,بگماشتیم 0.02857142857142857
روی,من 0.07142857142857142
این,اقبالگاه 0.027777777777777776
برهان,که 0.5
گذر,آید 1.0
مجلس,روحانیان 0.3333333333333333
یوسفی,تو 1.0
گوید,مرا 0.07692307692307693
تو,چونی 0.01098901098901099
دریغ,به 0.25
نسلم,لا 0.5
خندد,که 1.0
تو,بر 0.01098901098901099
کرم,را 0.3333333333333333
زیرا,خوشی 1.0
مژده,وصال 0.3333333333333333
دیده,ست 0.1111111111111111
کار,</s> 0.16666666666666666
سواران,پیکی 1.0
بود,هماز 0.03225806451612903
گشتی,حریف 0.3333333333333333
باشد,</s> 0.4444444444444444
تو,به 0.03296703296703297
آتش,در 0.16666666666666666
ز,تک 0.017543859649122806
بسیار,می 0.2
جمال,تو 1.0
کان,حسن 0.1
فلک,ساغر 0.2
نور,برافشاند 0.14285714285714285
<s>,لشکر 0.003436426116838488
قرار,بود 1.0
خنب,بشکستم 1.0
