کشتی,سرگشته 0.5
است,لیکن 0.045454545454545456
از,یاد 0.010752688172043012
ناسزا,</s> 1.0
خاک,خسی 0.2
<s>,دهان 0.003436426116838488
کل,جزو 0.3333333333333333
جام,فرعون 0.5
من,صورتم 0.015625
در,کوی 0.014705882352941176
<s>,ترک 0.003436426116838488
اعضای,خویش 1.0
مرا,مغز 0.0625
طبیب,از 1.0
بگویم,که 0.5
گویی,هزار 0.3333333333333333
بشنو,این 1.0
مکان,در 0.25
این,غربت 0.027777777777777776
تو,زنده 0.02197802197802198
آب,چون 0.16666666666666666
یوسف,پیش 0.16666666666666666
ببری,والله 1.0
گردن,سست 0.5
و,روی 0.007194244604316547
بدو,گفتا 0.3333333333333333
خمش,گردد 0.3333333333333333
خوش,چمنیست 0.14285714285714285
چون,ز 0.043478260869565216
شد,این 0.045454545454545456
سر,زند 0.047619047619047616
گشته,بر 0.2
تیره,گون 0.3333333333333333
صبح,ها 0.5
جان,موسی 0.03333333333333333
خیال,و 0.25
ای,جمله 0.023809523809523808
باطن,همچو 0.5
امروز,من 0.1111111111111111
لماز,را 1.0
پرپیچ,و 1.0
پوستم,هله 1.0
فرستادم,و 1.0
دفع,گفتنت 1.0
ترش,روی 1.0
و,شجر 0.007194244604316547
این,دم 0.027777777777777776
باشد,ای 0.1111111111111111
را,زر 0.012345679012345678
خطا,</s> 1.0
خفته,ست 1.0
دیده,نقش 0.1111111111111111
بر,گردون 0.020833333333333332
داند,حیله 0.25
دوران,شکایت 1.0
لیک,پوشاند 1.0
از,میان 0.010752688172043012
چنان,مستم 0.4
که,بده‏ستش 0.007142857142857143
گل,از 0.1
چو,نار 0.06666666666666667
ما,هست 0.034482758620689655
بر,سر 0.041666666666666664
بار,همه 0.5
برگ,او 0.3333333333333333
را,بین 0.012345679012345678
ز,لفافه 0.017543859649122806
جمعی,نرسد 1.0
برای,زخم 0.3333333333333333
پس,دروغ 0.3333333333333333
<s>,درد 0.003436426116838488
چه,گوید 0.02040816326530612
کف,دریای 0.16666666666666666
خرپشته,ام 1.0
تن,معمورم 0.2
دانی,که 0.2
گدایان,ترس 1.0
شباب,اولی 0.5
چو,آفتاب 0.03333333333333333
<s>,مهتر 0.003436426116838488
منبرها,بگفته 1.0
و,ظاهر 0.007194244604316547
در,گدایی 0.014705882352941176
آخر,چه 0.2
هجران,چه 1.0
می,با 0.019230769230769232
سوی,خانه 0.1111111111111111
مانا,تویی 1.0
میان,مستان 0.14285714285714285
چون,آب 0.043478260869565216
خورشید,و 0.16666666666666666
ای,خواجه 0.07142857142857142
نظامی,به 1.0
چه,بابست 0.02040816326530612
چون,باشیم 0.043478260869565216
بوده,ام 1.0
را,رهی 0.012345679012345678
در,چو 0.014705882352941176
غم,کاری 0.09090909090909091
روح,من 0.16666666666666666
غایت,شکر 1.0
فی,ظل 1.0
آید,</s> 0.5
نقش,خیالی 0.25
شاخ,گل 0.3333333333333333
آید,رها 0.08333333333333333
وصال,دهد 0.5
جهد,ما 1.0
روز,خفتنم 0.25
نپایم,</s> 1.0
گردد,که 0.1111111111111111
عارض,ساقی 1.0
راه,هست 0.2
سرخیل,امروز 1.0
وان,ناز 0.2
مکان,پی 0.25
کنند,اندر 1.0
عهد,را 0.5
<s>,رقصیدن 0.003436426116838488
مر,سنگ 1.0
بود,فلک 0.03225806451612903
و,دیده 0.007194244604316547
قلماشی,است 1.0
به,خون 0.03571428571428571
گلیم,</s> 1.0
<s>,کسی 0.003436426116838488
گمراه,</s> 1.0
او,بی 0.02857142857142857
هاست,تابش 0.5
نیکو,خصال 1.0
خوشی,ها 0.5
بر,درشان 0.020833333333333332
روی,چو 0.07142857142857142
چه,نامبارک 0.02040816326530612
نهادم,بر 1.0
ای,دوست 0.023809523809523808
عدو,</s> 1.0
روحانی,خوشی 1.0
سرمست,سازیم 0.5
ره,جانانه 0.2
بکنم,غمز 1.0
سیه,گشته 0.3333333333333333
میخانه,نهادیم 0.5
نیست,عشق 0.07692307692307693
چمنیست,عارضت 1.0
زانک,اندیشه 1.0
از,چنبر 0.010752688172043012
و,ملاقات 0.007194244604316547
چه,نان 0.02040816326530612
ماند,آن 0.5
مبارکست,هوای 1.0
همی,شایم 0.16666666666666666
مکن,حافظ 0.1
اندیشه,را 0.2
اوست,به 1.0
دوست,تو 0.25
از,لذت 0.010752688172043012
بی,چون 0.045454545454545456
رقعه,فنا 1.0
خانه,دو 0.14285714285714285
خون,بایدت 0.09090909090909091
جانان,بر 0.5
دهد,ساقی 0.3333333333333333
باز,و 0.3333333333333333
وز,جمله 0.125
تو,شیرین 0.01098901098901099
من,نیم 0.015625
و,ملاحت 0.007194244604316547
او,بیندیش 0.02857142857142857
از,این 0.06451612903225806
که,آید 0.007142857142857143
سپاری,مگو 1.0
به,رقص 0.03571428571428571
نسیم,می 1.0
آن,خورشید 0.015151515151515152
قطره,از 0.16666666666666666
نیارد,با 1.0
ها,وز 0.0625
چو,حافظ 0.06666666666666667
به,پیشش 0.011904761904761904
ترک,این 0.2857142857142857
تو,منشین 0.01098901098901099
تو,ایمان 0.01098901098901099
نداری,پا 1.0
مردم,است 1.0
ثریا,دل 1.0
طبق,بر 0.3333333333333333
به,دستی 0.011904761904761904
روی,خود 0.07142857142857142
زین,یوسف 0.2
گنده,کند 1.0
کاش,نبودی 1.0
و,بیرون 0.007194244604316547
دل,نقش 0.034482758620689655
بهر,نثار 0.3333333333333333
سر,فقر 0.047619047619047616
او,به 0.08571428571428572
آهو,با 1.0
گل,بی 0.1
صحبت,حکام 1.0
سپارید,که 1.0
جوانست,</s> 1.0
عشقم,ربابی 0.5
که,ز 0.014285714285714285
صبحگاهی,سزد 0.5
برون,نروی 0.25
گویم,وز 0.16666666666666666
طبق,است 0.3333333333333333
که,آخر 0.007142857142857143
نیز,بنده 0.25
آخرزمان,حال 1.0
کسی,را 0.4
اندازیم,</s> 1.0
زد,ما 0.16666666666666666
<s>,حارس 0.003436426116838488
گر,مشکلی 0.0625
خود,خون 0.0625
باید,جهان 1.0
گندمی,عرضه 0.3333333333333333
رمال,بر 1.0
هوس,بوسه 0.3333333333333333
همای,سایه 1.0
نان,را 0.5
گنج,بیابی 0.5
سر,پر 0.047619047619047616
شود,</s> 0.15789473684210525
نثار,کف 0.25
و,سحر 0.007194244604316547
دوش,که 0.3333333333333333
این,افسانه 0.027777777777777776
درد,او 0.1111111111111111
<s>,دانی 0.003436426116838488
هلا,</s> 1.0
بر,اوج 0.020833333333333332
طراری,که 0.5
بانگ,نای 1.0
و,شمع 0.007194244604316547
آتششان,همچو 1.0
حامله,شد 1.0
عشق,شرم 0.05
گنج,حضور 0.5
به,شام 0.011904761904761904
زین,بی 0.2
امروز,</s> 0.4444444444444444
دلا,تنها 0.3333333333333333
نثار,خوش 0.25
از,جای 0.010752688172043012
آن,فنا 0.015151515151515152
چه,ناله 0.02040816326530612
بگشا,</s> 1.0
ای,دیده 0.023809523809523808
من,هم 0.015625
جان,نبری 0.03333333333333333
بر,باد 0.020833333333333332
این,نباشد 0.027777777777777776
داشت,حق 1.0
و,یار 0.007194244604316547
ای,ناب 0.023809523809523808
نه,خرد 0.07142857142857142
نشد,</s> 1.0
چه,در 0.02040816326530612
مه,وشان 0.3333333333333333
انتظار,نثار 0.5
به,شود 0.011904761904761904
جمع,سرخوشان 0.14285714285714285
دیدی,باقیش 0.5
دید,اندر 1.0
آن,خواجه 0.015151515151515152
ای,از 0.023809523809523808
دین,بی 0.25
حیات,ای 1.0
کان,چهره 0.1
کزدم,منه 1.0
مرو,ای 0.5
رفیق,گشته 1.0
مستان,خویش 0.25
قبا,چه 0.5
ز,نیکی 0.017543859649122806
و,سلامی 0.007194244604316547
می,ستایم 0.019230769230769232
تو,امروز 0.01098901098901099
باری,بیا 1.0
که,جان 0.02857142857142857
خرمن,ماه 1.0
آن,دمی 0.015151515151515152
چو,نحن 0.03333333333333333
فتح,الله 1.0
در,کف 0.014705882352941176
<s>,شهر 0.003436426116838488
نیز,مترس 0.25
زیارت,تو 1.0
انبار,کف 0.3333333333333333
کند,جان 0.047619047619047616
<s>,آخر 0.003436426116838488
انبار,کن 0.3333333333333333
یاران,چشم 0.25
در,گذر 0.014705882352941176
بوسه,ها 0.5
فلک,جانب 0.2
دهید,بدیشان 0.5
آن,نگار 0.015151515151515152
کان,و 0.1
برهان,چرا 0.5
شکست,ما 0.5
شکر,بگویند 0.16666666666666666
فراغ,دارد 1.0
بسیار,طراری 0.2
<s>,به 0.030927835051546393
مشو,یک 1.0
شورم,</s> 1.0
دیگر,که 0.5
و,حنین 0.007194244604316547
چه,نالی 0.02040816326530612
نرسد,هیچ 1.0
بحر,بود 0.2
آرد,به 0.5
به,خیالات 0.011904761904761904
روشنترست,کف 1.0
داری,بگو 0.25
می,نگنجد 0.019230769230769232
الغوث,ز 1.0
که,درد 0.014285714285714285
ماه,سنبله 0.3333333333333333
پرده,جمعیت 1.0
خاصه,که 1.0
و,غرامت 0.007194244604316547
به,خویش 0.011904761904761904
افتاده,ای 1.0
<s>,فتح 0.003436426116838488
که,زخم 0.007142857142857143
خود,کنم 0.0625
به,یکی 0.011904761904761904
من,برده 0.015625
دلی,که 0.5
امنو,فی 1.0
زبان,گویم 0.2
ورزند,در 1.0
تیغ,دلدار 0.3333333333333333
بسی,شدم 0.25
ساقی,بخواند 0.14285714285714285
همی,گوید 0.16666666666666666
که,بکردت 0.007142857142857143
الهوی,اسقا 1.0
حکیمیم,طبیبیم 1.0
از,فرط 0.010752688172043012
گفت,الغیاث 0.16666666666666666
تو,بس 0.01098901098901099
خاک,مقیم 0.2
هله,برپر 0.3333333333333333
رفت,ای 0.5
شادی,که 0.3333333333333333
<s>,با 0.006872852233676976
دل,پیغام 0.034482758620689655
است,که 0.045454545454545456
شود,مه 0.05263157894736842
طرب,از 1.0
و,انسانم 0.007194244604316547
<s>,بس 0.003436426116838488
<s>,بر 0.010309278350515464
دمی,کز 0.2
دودل,چون 1.0
بی,خبر 0.045454545454545456
وز,دمدمه 0.125
ظاهر,همچو 0.3333333333333333
جدا,جدا 0.25
چه,خورده 0.02040816326530612
باز,شود 0.3333333333333333
کو,بر 0.1111111111111111
جان,در 0.03333333333333333
<s>,روح 0.003436426116838488
کژدم,است 1.0
آب,درانداز 0.16666666666666666
که,مپرس 0.02142857142857143
نعره,زنان 1.0
است,سوراخ 0.045454545454545456
الصلا,گوید 1.0
یک,مشت 0.18181818181818182
او,ز 0.02857142857142857
چون,گفتن 0.043478260869565216
رمه,را 1.0
جان,عشق 0.06666666666666667
هنجار,مرا 1.0
ترسم,که 0.5
می,از 0.019230769230769232
باشد,نیست 0.1111111111111111
برم,من 1.0
خواهد,مرهمی 0.5
ارواح,امتنانی 0.5
تو,فنا 0.01098901098901099
دوستی,حق 1.0
آفتی,کان 1.0
پرآتش,بست 1.0
آید,خیال 0.08333333333333333
نه,بکنم 0.07142857142857142
غم,قصد 0.09090909090909091
سوی,ما 0.1111111111111111
جان,حسن 0.03333333333333333
<s>,که 0.006872852233676976
را,رها 0.024691358024691357
ز,هر 0.03508771929824561
چرا,نیفزوید 0.1111111111111111
دریای,تو 1.0
هین,شد 0.3333333333333333
منتظر,کو 0.3333333333333333
منتظر,که 0.3333333333333333
درد,تو 0.1111111111111111
نباشد,لمتر 0.25
عقل,یا 0.125
مشکلی,بود 1.0
نشود,پیدا 0.5
می,شود 0.038461538461538464
دل,پرخون 0.034482758620689655
بگویم,پنهان 0.5
از,بهانه 0.010752688172043012
فنا,به 0.2
توانی,کرد 1.0
در,نشاند 0.014705882352941176
و,گویی 0.007194244604316547
نماید,اگر 0.5
سجده,تو 0.5
به,طاحون 0.011904761904761904
بسی,زین 0.25
<s>,ببستی 0.003436426116838488
میان,جوش 0.14285714285714285
با,دردی 0.058823529411764705
<s>,مسلمانان 0.003436426116838488
کارم,بدان 1.0
گفتم,فریضه 0.3333333333333333
ها,باز 0.0625
بنشاند,جانان 1.0
نبرد,کفرها 1.0
جانب,یقین 0.3333333333333333
من,عورم 0.015625
را,لماز 0.012345679012345678
با,دل 0.058823529411764705
مغلوب,را 1.0
سر,آن 0.047619047619047616
باطن,من 0.5
درد,که 0.1111111111111111
ای,جز 0.023809523809523808
وقت,مطر 0.2
بی‏ندید,که 1.0
نشوی,در 1.0
من,که 0.015625
دی,گله 0.5
کار,بود 0.16666666666666666
مکن,که 0.2
یابد,فارغ 0.5
همه,شیوه 0.125
ترک,گدایی 0.14285714285714285
برق,بود 0.5
اقبالگاه,خوش 1.0
را,طالب 0.012345679012345678
<s>,اول 0.003436426116838488
یاری,داشت 0.5
یکی,برهان 0.3333333333333333
<s>,کی 0.003436426116838488
سپند,بوده 1.0
ملولم,و 1.0
که,صورت 0.007142857142857143
ها,جو 0.0625
خانه,لا 0.14285714285714285
سان,که 1.0
پی,آذر 0.2
زین,درد 0.2
کرد,</s> 0.2727272727272727
<s>,درربودی 0.003436426116838488
بام,برآیم 1.0
ز,رنگت 0.017543859649122806
آتش,تیز 0.16666666666666666
گفتی,که 1.0
نرگس,ساقی 0.25
از,طال 0.010752688172043012
بر,طبق 0.020833333333333332
در,که 0.014705882352941176
در,کل 0.014705882352941176
فنا,رسیده 0.2
کان,آرام 0.1
<s>,سرا 0.003436426116838488
خاک,را 0.2
درد,سخن 0.1111111111111111
ای,صنم 0.023809523809523808
باقیش,معلوم 0.5
واقفم,از 0.5
<s>,روی 0.006872852233676976
قالب,مرده 1.0
در,گاه 0.014705882352941176
را,ایمن 0.012345679012345678
خود,کشتی 0.0625
وار,و 0.5
نور,ز 0.14285714285714285
روزی,که 0.5
من,لب 0.015625
روی,جانا 0.07142857142857142
زهره,شیر 0.25
خفرات,اتیننا، 1.0
جان,ز 0.06666666666666667
قصد,خسوف 0.5
گوید,که 0.15384615384615385
استاد,جمله 1.0
فروبندی,و 1.0
دریغ,دریغ 0.25
اثر,دارد 1.0
مهتر,تجار 1.0
تو,دانی 0.01098901098901099
قل,دمی 1.0
<s>,ای 0.030927835051546393
<s>,بپرسم 0.003436426116838488
زلف,بنفشه 0.5
سوی,قرین 0.1111111111111111
من,اسب 0.015625
خندانم,عادت 0.5
بگذری,چو 1.0
منه,بر 1.0
ز,تو 0.03508771929824561
جداییست,و 1.0
سنگ,را 0.5
به,باطن 0.011904761904761904
یا,دل 0.2857142857142857
دستی,در 0.5
او,پرسیم 0.02857142857142857
چو,ببینند 0.03333333333333333
صوت,هزار 1.0
دو,در 0.1111111111111111
شد,ریخته 0.045454545454545456
حریفان,چونید 0.5
که,شود 0.007142857142857143
که,دزدیدی 0.007142857142857143
سفرکرده,داد 1.0
هزار,لاله 0.16666666666666666
دم,همت 0.09090909090909091
که,مگوی 0.007142857142857143
ز,اعتماد 0.017543859649122806
جان,و 0.13333333333333333
دیده,فروبندی 0.1111111111111111
مراد,است 1.0
برشده,بر 1.0
گر,ترش 0.0625
گردد,کوری 0.1111111111111111
نفس,طامع 1.0
که,دعای 0.007142857142857143
تاریک,رویی 1.0
چون,می 0.043478260869565216
من,خدا 0.015625
گردون,رود 0.5
بروید,بر 0.5
در,خاک 0.014705882352941176
بسیار,کردیم 0.2
و,تندی 0.007194244604316547
منصور,بود 0.5
دروغش,کرد 1.0
میدان,ها 0.5
گل,که 0.1
نصیبان,</s> 1.0
حبس,می 1.0
هست,و 0.125
او,اخفی 0.02857142857142857
نتیجه,شرب 1.0
با,تو 0.17647058823529413
غم,ز 0.09090909090909091
رفتم,اینک 1.0
های,نو 0.2
ز,زخم 0.017543859649122806
جوی,بو 0.5
بهای,تو 1.0
یغماش,بدیدی 1.0
گردن,زانک 0.5
چه,ماه 0.02040816326530612
کو,یکی 0.1111111111111111
شده,ست 0.3333333333333333
ها,مگر 0.0625
ز,بغداد 0.017543859649122806
مقصود,از 1.0
نیست,ره 0.07692307692307693
دریاست,یک 1.0
زان,سوی 0.2
پیش,لات 0.16666666666666666
روا,باشد 0.5
حافظ,پریشان 0.058823529411764705
که,جدا 0.007142857142857143
شود,آوارگی 0.05263157894736842
خندیدن,</s> 1.0
کشتیهاش,کآن 1.0
<s>,از 0.027491408934707903
که,همراز 0.007142857142857143
می‏روم,</s> 1.0
نشان,و 0.3333333333333333
حیا,گوید 1.0
سرکشان,به 1.0
سخت,خام 1.0
گدا,</s> 1.0
جان,برون 0.03333333333333333
پشیمانی,یقین 0.5
آسایش,بلاست 1.0
بلاست,ریش 1.0
سرمستک,شدی 1.0
بهر,سفر 0.3333333333333333
ز,زبان 0.017543859649122806
در,از 0.014705882352941176
ز,شرم 0.017543859649122806
بود,و 0.03225806451612903
چیست,کان 0.25
فدای,آن 1.0
نه,فنا 0.07142857142857142
صفا,مدهید 0.5
نیست,وان 0.07692307692307693
روز,پسین 0.25
نباشد,</s> 0.5
صلات,پیش 1.0
من,نمی 0.015625
زند,خورشید 0.2
گویم,که 0.16666666666666666
چکید,از 1.0
در,دهن 0.014705882352941176
جو,</s> 0.5
و,گمان 0.014388489208633094
ست,</s> 0.1111111111111111
چو,گذشتی 0.06666666666666667
بگذشتی,مقیم 1.0
هر,دیار 0.03225806451612903
درآیم,چه 1.0
و,سعی 0.007194244604316547
کشی,تو 1.0
اینک,من 0.5
و,جهان 0.007194244604316547
روز,روشن 0.25
هر,چهره 0.03225806451612903
آن,گلم 0.015151515151515152
تو,دودل 0.01098901098901099
روح,خرقه 0.16666666666666666
میان,آن 0.14285714285714285
<s>,هرچه 0.003436426116838488
نیز,دانیم 0.25
و,خورشید 0.007194244604316547
ترسمت,فرومانی 1.0
دستی,همه 0.5
مسلمین,دل 1.0
قرین,کشدا 0.3333333333333333
ساکن,و 1.0
بس,تاریک 0.25
نگر,نه 0.5
برگ,سیب 0.3333333333333333
کشدا,</s> 0.8
یاد,از 0.3333333333333333
تبریزی,تو 0.3333333333333333
برو,در 0.16666666666666666
که,را 0.02142857142857143
به,برج 0.011904761904761904
<s>,ببین 0.003436426116838488
جنان,باشد 1.0
است,حافظ 0.045454545454545456
سخن,نمی 0.3333333333333333
درد,نه 0.1111111111111111
آن,باغبان 0.015151515151515152
برملا,</s> 1.0
من,گذشت 0.015625
<s>,رسید 0.003436426116838488
و,آستین 0.007194244604316547
جانان,گر 0.5
مست,خداوندی 0.25
آشنا,نگاه 1.0
عورم,</s> 1.0
داد,باد 0.5
ناله,کند 0.3333333333333333
لشکر,کشیده 1.0
را,بنپرستم 0.012345679012345678
ببند,و 1.0
بود,وقت 0.03225806451612903
که,نماید 0.007142857142857143
نیست,</s> 0.3076923076923077
<s>,زمن 0.003436426116838488
خانه,نیاید 0.14285714285714285
کوره,ای 1.0
بجز,این 1.0
قبا,گوید 0.5
هوس,که 0.3333333333333333
دمی,تشریف 0.2
جهان,سوزی 0.1111111111111111
محکم,جاهلی 1.0
دم,می 0.09090909090909091
و,فرخنده 0.007194244604316547
گوید,جفا 0.07692307692307693
امن,و 1.0
سبب,چیست 0.5
ما,پاک 0.034482758620689655
فرورفته,در 1.0
غمزه,تو 1.0
این,سو 0.027777777777777776
را,غنیمت 0.012345679012345678
عقل,بازاری 0.125
ما,طرب 0.034482758620689655
خلق,می 1.0
سوز,آب 0.5
آهنگ,او 1.0
مار,و 1.0
نشستی,خنک 1.0
آن,بحر 0.015151515151515152
ز,ماه 0.017543859649122806
گر,گندمی 0.0625
چیست,</s> 0.25
پیش,از 0.16666666666666666
باد,</s> 0.25
نیامیزد,جداییست 1.0
او,بسیار 0.02857142857142857
این,دعا 0.027777777777777776
بد,بود 1.0
تویی,</s> 0.8333333333333334
زهره,تابنده 0.25
املی,الهوی 1.0
بار,گران 0.5
خلیفه,ای 1.0
من,گلیم 0.015625
باد,و 0.08333333333333333
صنم,گناه 1.0
سیری,و 1.0
زبان,هست 0.2
تو,بلبل 0.01098901098901099
گریان,کرد 1.0
من,وانگه 0.015625
خسته,در 0.5
جذب,او 1.0
خود,کار 0.0625
<s>,شمس 0.006872852233676976
عاشقی,که 1.0
ای,جان 0.09523809523809523
زان,طره 0.2
رندی,بشد 0.25
نبشته,رقعه 1.0
قیامت,تمام 0.5
حق,دوستی 0.25
<s>,اهل 0.003436426116838488
و,رفته 0.007194244604316547
می,ریزد 0.019230769230769232
نامده,ست 1.0
<s>,خوش 0.003436426116838488
میش,نماند 1.0
ببینند,رخ 1.0
بستان,</s> 0.5
قوامی,ده 1.0
ار,نشوی 0.25
بلور,تو 1.0
را,رسوا 0.012345679012345678
<s>,تو 0.01718213058419244
و,حالت 0.007194244604316547
<s>,همه 0.003436426116838488
دم,تو 0.09090909090909091
کل,به 0.3333333333333333
بر,شاخ 0.020833333333333332
قول,نبی 1.0
هست,گشته 0.125
آن,عهد 0.015151515151515152
تو,ما 0.01098901098901099
می,رود 0.019230769230769232
را,شادی 0.012345679012345678
بیارید,به 1.0
غمی,</s> 1.0
حلالستت,بر 1.0
زان,سان 0.2
بر,جگر 0.020833333333333332
این,دود 0.027777777777777776
غش,بسیار 1.0
نیست,جز 0.07692307692307693
چاپلوسی,هر 1.0
این,خداست 0.027777777777777776
او,می 0.05714285714285714
تا,گردن 0.05
مغز,نغز 1.0
داند,آسمان 0.25
دست,روی 0.3333333333333333
چون,جمع 0.043478260869565216
نشکنی,ای 1.0
نطق,آید 1.0
لاله,برآید 1.0
در,میانه 0.014705882352941176
خوب,سیما 1.0
ما,اشارت 0.034482758620689655
کنعانی,</s> 1.0
قلزم,قطره 1.0
دم,نپاید 0.09090909090909091
صد,حیلت 0.2
گندمی,گر 0.3333333333333333
سر,تا 0.047619047619047616
بازخریدیم,</s> 1.0
از,آتششان 0.010752688172043012
از,کل 0.010752688172043012
سر,من 0.047619047619047616
کند,املی 0.047619047619047616
مقیم,مقام 0.5
سر,فکر 0.047619047619047616
دینت,پی 1.0
چنین,برهان 0.3333333333333333
هر,شام 0.03225806451612903
فکر,در 1.0
بیا,حافظ 0.3333333333333333
حسن,از 0.25
داد,کنون 0.5
کآن,پند 1.0
بیگانگان,مرو 1.0
شود,دشمن 0.05263157894736842
<s>,همی 0.003436426116838488
کو,شرابت 0.1111111111111111
جانم,چو 0.5
پیش,عزی 0.16666666666666666
بغل,را 1.0
سر,مستان 0.047619047619047616
درد,عشقی 0.1111111111111111
رویی,نما 0.6666666666666666
<s>,هاتفی 0.003436426116838488
که,دریا 0.007142857142857143
و,رخت 0.007194244604316547
غبغب,</s> 1.0
لب,لعلی 0.5
است,</s> 0.13636363636363635
اندر,حال 0.2
در,بن 0.014705882352941176
شب,قدری 0.25
راه,نیست 0.4
ناله,مستان 0.3333333333333333
رو,کز 0.14285714285714285
افسونگری,حلقه 1.0
را,موی 0.012345679012345678
چه,باشد 0.04081632653061224
شکر,لبی 0.16666666666666666
گندمی,وانگه 0.3333333333333333
خوبی,و 1.0
رو,و 0.14285714285714285
نظم,می 1.0
گشتی,که 0.3333333333333333
یک,قطره 0.18181818181818182
صفا,جز 0.5
به,من 0.011904761904761904
کن,مر 0.09090909090909091
حریف,همدمی 1.0
خویش,بی 0.125
دگر,آن 0.5
نکوبی,به 1.0
در,بت 0.014705882352941176
کشدا,فرشته 0.2
هزار,حیله 0.16666666666666666
شجر,به 1.0
و,سبزه 0.007194244604316547
رو,که 0.14285714285714285
برآمد,بر 0.25
امر,قل 1.0
که,سرخیل 0.007142857142857143
آن,قدر 0.015151515151515152
تن,گرد 0.2
رازها,طلبی 1.0
مشورت,کند 1.0
راز,را 1.0
را,سوی 0.012345679012345678
گرفتی,با 1.0
جمالت,دل 0.5
کرد,آن 0.09090909090909091
اقربم,معلوم 1.0
دل,است 0.034482758620689655
توان,نهادن 0.3333333333333333
عشق,ترک 0.1
در,خانه 0.014705882352941176
و,بگو 0.007194244604316547
آن,جا 0.10606060606060606
می,روی 0.038461538461538464
لکلک,گویا 1.0
ز,عطاهای 0.017543859649122806
ناامیدان,که 1.0
کن,خواجه 0.09090909090909091
جهان,از 0.1111111111111111
روی,که 0.14285714285714285
دان,آن 0.5
مترس,و 1.0
دل,خیالش 0.034482758620689655
از,روی 0.010752688172043012
عشق,او 0.1
من,بارها 0.015625
به,فردا 0.011904761904761904
رنگ,و 0.2
علا,توانی 1.0
غلط,مکن 0.3333333333333333
سوزش,را 1.0
مرا,زهره 0.125
روزی,هاست 0.5
عشق,امامت 0.05
بنده,کار 0.3333333333333333
شمع,صبحگاهی 1.0
تندی,دربانم 1.0
فریضه,دارم 1.0
زمین,کشدا 0.2
آوارگی,و 1.0
چو,نبخشی 0.03333333333333333
و,گریه 0.007194244604316547
سزد,ار 1.0
طاحون,بر 1.0
رندی,مجموعه 0.25
کفرها,زین 1.0
بری,و 1.0
باطنش,چون 0.5
تو,پیغامبر 0.01098901098901099
را,چه 0.04938271604938271
جای,نشستی 0.25
شود,کز 0.05263157894736842
شکند,گدای 1.0
گویم,از 0.16666666666666666
با,باطنش 0.058823529411764705
قطره,به 0.3333333333333333
غمز,و 1.0
قرص,قمر 1.0
در,بستان 0.014705882352941176
یمن,گردد 1.0
بنپرستم,من 1.0
کردنی,</s> 1.0
یاران,آن 0.25
<s>,چنانک 0.003436426116838488
دهان,ببند 0.25
کز,غمش 0.125
سنگ,</s> 0.5
هر,نور 0.03225806451612903
می,و 0.019230769230769232
اشارت,ز 1.0
بازگردد,ز 1.0
عشق,از 0.05
دیدند,نشان 1.0
و,گردان 0.007194244604316547
دهد,یعنی 0.3333333333333333
منتظر,بر 0.3333333333333333
برج,دگر 0.5
چراغ,همی 1.0
من,دام 0.015625
بگرییم,که 1.0
آن,کاره 0.015151515151515152
این,هدیه 0.027777777777777776
کن,قدح 0.09090909090909091
بالا,</s> 1.0
یوسف,عزیزم 0.16666666666666666
تو,روشن 0.01098901098901099
اگر,گویمش 0.07692307692307693
<s>,کشته 0.003436426116838488
ای,بنده 0.023809523809523808
چه,یاران 0.02040816326530612
رباب,عشقم 1.0
شود,تیره 0.05263157894736842
خواهی,خون 0.5
از,نور 0.010752688172043012
ساقیست,چون 1.0
<s>,ظاهرش 0.003436426116838488
هم,بگرییم 0.125
به,جان 0.011904761904761904
عشق,ای 0.05
کز,رخ 0.125
احمد,امی 1.0
نگنجد,در 1.0
رقصان,نماید 1.0
خسوف,قرص 1.0
چنان,آتش 0.2
<s>,چون 0.020618556701030927
تاب,دارم 1.0
لیکن,ماند 0.5
و,گفتم 0.007194244604316547
نگویم,یار 1.0
با,خدا 0.058823529411764705
که,وقت 0.007142857142857143
نخواهیم,که 1.0
همی,سوزد 0.16666666666666666
بی,مکان 0.045454545454545456
هجوی,می 1.0
چیست,زان 0.25
طائر,خضری 1.0
در,میان 0.04411764705882353
گلبن,حسنت 1.0
<s>,بنال 0.003436426116838488
<s>,چنانم 0.003436426116838488
نهایت,ماجرا 1.0
بی,جان 0.045454545454545456
درخت,ای 1.0
نیست,جهان 0.07692307692307693
ربود,از 1.0
بر,شما 0.020833333333333332
در,سر 0.014705882352941176
چه,عاشق 0.02040816326530612
<s>,چنانش 0.003436426116838488
شود,ور 0.05263157894736842
سخن,دم 0.3333333333333333
عشق,جان 0.05
و,بساخت 0.007194244604316547
پرخون,باشیم 0.5
چشم,یاری 0.16666666666666666
گناه,ندارد 1.0
نگیرم,که 1.0
و,این 0.007194244604316547
باریک,شد 1.0
پرمی,که 1.0
مقام,خویش 0.5
بیان,توان 1.0
سیه,که 0.3333333333333333
طبیبان,الهیم 1.0
بپر,زین 1.0
فنا,شد 0.4
و,ننگشان 0.007194244604316547
می,بنوش 0.019230769230769232
ترک,کام 0.14285714285714285
را,بجز 0.012345679012345678
زیر,زمین 1.0
جان,دلیر 0.03333333333333333
سرا,چه 1.0
بودی,در 0.5
من,آیی 0.015625
الدین,تبریز 1.0
بدو,دوا 0.3333333333333333
نمی,بخشند 0.16666666666666666
گهر,دیده 1.0
وز,چرخ 0.125
